model_name,avg_mae,std_mae,avg_r2,fold_mae_scores,fold_r2_scores
CatBoost,2.6834792964841467,2.971219681944992,-78.58106743479463,"[0.5053928710948954, 8.56539814505079, 1.837501932874823, 1.2679066124360359, 1.2411969209641909]","[-7.591370859396537, -3.3419663795232983, -212.4605620319813, -82.08348669407339, -87.42795120899868]"
Hist Gradient Boosting,2.6843772778686716,3.0563232432424803,-143.65532712386806,"[0.5241297689026752, 8.493610015229917, 3.0676944410790488, 0.7549474831496614, 0.5815046809820554]","[-8.063617703510511, -3.2696338237458553, -644.075385231598, -24.907456776986116, -37.96054208349976]"
LightGBM,2.731359018990667,2.984614923111135,-125.88708929303684,"[0.5147729363561497, 8.509833331771564, 2.6431539816619587, 1.3064423818657926, 0.6825924632978714]","[-7.831940668201954, -3.287179446652887, -446.38140010221707, -136.85482178143312, -35.080104466679096]"
XGBoost,2.8245815515518187,2.9429829145687156,-109.4898034471471,"[0.5084162354469299, 8.519018173217773, 2.7295827865600586, 0.9425831437110901, 1.4233074188232422]","[-7.628579567536228, -3.289374353095332, -393.8813464338129, -35.964387198302724, -106.68532968298831]"
Extra Trees,2.8591645871142872,3.020725826058796,-131.81953621764936,"[0.5134887972614811, 8.632067504594184, 1.3033894131400365, 0.7780746995648662, 3.0688025210108685]","[-7.852588861167243, -3.414876361429811, -125.36415612034776, -30.296686805404722, -492.1693729398972]"
ElasticNet,2.9053095294907023,2.854676429027265,-78.07725786782301,"[0.464008834447732, 8.486776734372576, 2.316752066748439, 1.504189249016544, 1.7548207628682198]","[-7.029726394819805, -3.2219697802299363, -181.525819119752, -78.28392089869318, -120.32485314562012]"
Ridge,3.0141124538168462,2.776978918478352,-105.48437559354245,"[0.9539254016771205, 8.504415571796018, 2.261518064546707, 1.577114473218658, 1.7735887578457288]","[-128.12909102926156, -3.248288997855071, -188.6642969789575, -85.37574408763653, -122.00445687400159]"
